Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 14:27:22,62°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,50°C,39%,xxx,68°C,67°C,62°C,58°C,39°C,28°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:28:21,62°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,49°C,39%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:29:22,62°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,49°C,39%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:30:21,62°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,48°C,39%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:31:21,61°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,48°C,39%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:32:21,61°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,48°C,39%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:33:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,48°C,38%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:34:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,48°C,38%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:35:20,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,48°C,38%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:36:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,38%,xxx,68°C,67°C,62°C,57°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:37:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,38%,xxx,68°C,67°C,62°C,56°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:38:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,62°C,56°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:39:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,62°C,56°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:40:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,62°C,56°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:41:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,61°C,56°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:42:21,61°C,57°C,"1,74bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,61°C,56°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:43:20,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,47°C,37%,xxx,68°C,66°C,61°C,56°C,39°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:44:21,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,46°C,37%,xxx,68°C,66°C,61°C,56°C,39°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:45:22,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,46°C,36%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:46:21,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,46°C,36%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:47:20,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,46°C,36%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:48:21,61°C,57°C,"1,73bar",42°C,---,0U/min,1323kg,45kg,46°C,36%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:49:21,61°C,57°C,"1,73bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,8°C",
 17.03.2024 14:50:21,61°C,57°C,"1,73bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:51:21,61°C,57°C,"1,73bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,66°C,61°C,55°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:52:22,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,66°C,61°C,54°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:53:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,65°C,61°C,54°C,39°C,28°C,28°C,2203kg,"10,7°C",
 17.03.2024 14:54:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,65°C,61°C,54°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 14:55:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,35%,xxx,67°C,65°C,60°C,54°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 14:56:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,34%,xxx,67°C,65°C,60°C,54°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 14:57:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,34%,xxx,67°C,65°C,60°C,54°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 14:58:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,45°C,34%,xxx,67°C,65°C,60°C,54°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 14:59:21,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,44°C,34%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:00:22,61°C,57°C,"1,72bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C
 17.03.2024 15:01:21,61°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:02:21,61°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:03:21,60°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:04:21,60°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:05:21,60°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:06:21,60°C,57°C,"1,71bar",41°C,---,0U/min,1323kg,45kg,44°C,33%,xxx,67°C,65°C,60°C,53°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:07:21,60°C,57°C,"1,71bar",40°C,---,0U/min,1323kg,45kg,44°C,32%,xxx,67°C,65°C,59°C,52°C,39°C,28°C,28°C,2203kg,"10,4°C",
 17.03.2024 15:08:21,60°C,57°C,"1,71bar",40°C,---,0U/min,1323kg,45kg,43°C,32%,xxx,67°C,64°C,59°C,52°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:09:21,60°C,57°C,"1,69bar",40°C,---,0U/min,1323kg,45kg,43°C,32%,xxx,66°C,64°C,59°C,52°C,39°C,28°C,28°C,2203kg,"10,4°C",
 17.03.2024 15:10:21,53°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,43°C,32%,xxx,66°C,64°C,59°C,52°C,39°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:11:21,57°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,43°C,33%,xxx,66°C,64°C,59°C,53°C,40°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:12:21,58°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,43°C,33%,xxx,66°C,64°C,60°C,53°C,40°C,28°C,28°C,2203kg,"10,5°C",
 17.03.2024 15:13:21,58°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,43°C,33%,xxx,65°C,64°C,60°C,54°C,40°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:14:21,58°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,43°C,33%,xxx,65°C,64°C,60°C,54°C,40°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:15:21,58°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,42°C,33%,xxx,65°C,64°C,60°C,54°C,40°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:16:21,58°C,57°C,"1,70bar",40°C,---,0U/min,1323kg,45kg,42°C,33%,xxx,65°C,64°C,60°C,53°C,40°C,28°C,28°C,2203kg,"10,6°C",
 17.03.2024 15:17:21,58°C,57°C,"1,69bar",40°C,---,0U/min,1323kg,45kg,42°C,33%,xxx,65°C,64°C,60°C,53°C,40°C,28°C,28°C,2203kg,"10,7°C",
